channel_id,video_id,title,published_at,duration,view_count,like_count,comment_count
UCHXfJ__xZs-BAA-tU8L19rQ,9ruso4N3u68,"한창민, 심상정에 뿔난 이유는? #사회민주당 #한창민 #심상정 #정의당 #정치 #shorts",2024-01-06T04:17:18Z,0h 0m 59s,2582,104,13
UCHXfJ__xZs-BAA-tU8L19rQ,m4_VgibCrws,"[창당은 힘들다] 새해, 정치변동 본격 예감 (개혁연합신당 봉하/마석 참배 비하인드) l 한창민 창준위원장/천호선 사무총장",2024-01-05T23:54:59Z,1h 15m 1s,2158,160,18
UCHXfJ__xZs-BAA-tU8L19rQ,Rrd_VbGx4v4,"[창당은 힘들다] 조국-용혜인-천호선 토크쇼부터 국가혁신자문위원회 이정우 위원장 섭외 스토리까지, 두 여인의 살벌한 뒷이야기",2023-12-26T23:50:42Z,1h 7m 13s,1040,97,9
UCHXfJ__xZs-BAA-tU8L19rQ,ZWVr-rTZ0hY,민주당보다 노무현답게 정의당보다 노회찬답게,2023-12-25T05:26:00Z,0h 3m 28s,2121,130,23
UCHXfJ__xZs-BAA-tU8L19rQ,QxQFuoHfAks,"[정치토크쇼] 대한민국, 어떤 나라로 가야 하는가: 개혁연합신당, 총선승리와 진보집권을 구상하다 (용혜인 l 조국 l 천호선)",2023-12-23T00:35:21Z,1h 45m 36s,2917,356,12
UCHXfJ__xZs-BAA-tU8L19rQ,dxUfwStyZfs,[창당은 힘들다] 개혁연합신당부터 조국 전 장관과의 정치토크쇼까지! 창준위원장에게 다 물어보시오 휴먼.,2023-12-19T23:54:11Z,1h 0m 18s,638,97,8
UCHXfJ__xZs-BAA-tU8L19rQ,PAf7uow_43E,[창당은 힘들다] 뺨 맞을 정도로 진심! 임명희 강원 대표가 말하는 지역정치!,2023-12-15T23:54:08Z,1h 0m 33s,2238,96,8
UCHXfJ__xZs-BAA-tU8L19rQ,ZvHI0jJk2TM,용혜인 기본소득당 아니었음? #사회민주당 #기본소득당 #천호선 #용혜인 #정치,2023-12-13T06:22:11Z,0h 0m 59s,2141,119,9
UCHXfJ__xZs-BAA-tU8L19rQ,c1i1LK1Fe7s,[창당은 힘들다] 돌고래 나르샤 일마다 진보하시니...,2023-12-08T23:48:11Z,1h 0m 41s,2410,141,6
UCHXfJ__xZs-BAA-tU8L19rQ,pm6WFacgM_o,"가짜뉴스가 난무하는 선거제 개혁, 그 진실은?",2023-12-06T09:24:44Z,0h 3m 53s,372,48,12
