channel_id,video_id,title,published_at,duration,view_count,like_count,comment_count
UCdkv2W-p3wEK5REQHfu7OKA,ytZZxWZMr_M,제19차 개혁신당 최고위원회의｜2024년 4월 19일｜개혁신당TV,2024-04-19T00:58:18Z,0h 11m 16s,2971,346,31
UCdkv2W-p3wEK5REQHfu7OKA,JpZ1ygdmMmQ,종로 금태섭 후보 거점유세｜2024년 4월 6일｜개혁신당TV,2024-04-07T10:04:47Z,0h 26m 44s,20149,1123,233
UCdkv2W-p3wEK5REQHfu7OKA,w7gd0QqA9cU,샌드박스를 부숴 스타트업을 키우는 쇼츠,2024-04-05T23:22:04Z,0h 0m 34s,13305,1441,67
UCdkv2W-p3wEK5REQHfu7OKA,1OjRrVwBj3M,나무 심는 날을 되찾고 싶은 쇼츠,2024-04-05T09:42:29Z,0h 0m 54s,16007,1333,81
UCdkv2W-p3wEK5REQHfu7OKA,9r4bU13287g,헌혈증을 절대 잃어버릴 수 없게 하는 쇼츠,2024-04-05T09:39:30Z,0h 0m 40s,8532,1250,74
UCdkv2W-p3wEK5REQHfu7OKA,DU6jVLyJe7E,동물보다 못한 사람을 방지하는 쇼츠,2024-04-05T09:38:35Z,0h 0m 47s,9698,1145,45
UCdkv2W-p3wEK5REQHfu7OKA,EWeala_qcoY,전자파 걱정 없는 데이터센터 위치 꿀팁 쇼츠,2024-04-05T09:36:49Z,0h 0m 52s,5527,724,30
UCdkv2W-p3wEK5REQHfu7OKA,iESTCVa8cO4,강동(갑) 김기수 후보 거점유세｜2024년 4월 1일｜개혁신당TV,2024-04-05T07:41:30Z,0h 33m 22s,3785,339,52
UCdkv2W-p3wEK5REQHfu7OKA,30M6ZAyi1PU,대구 북구(을) 황영헌 후보 거점유세｜2024년 4월 3일｜개혁신당TV,2024-04-05T07:35:39Z,0h 30m 45s,3716,437,87
UCdkv2W-p3wEK5REQHfu7OKA,JkpugGt0RaI,대구 수성(을) 조대원 후보 거점유세｜2024년 4월 3일｜개혁신당TV,2024-04-05T06:05:58Z,0h 15m 27s,7273,689,117
UCdkv2W-p3wEK5REQHfu7OKA,8UghrLXjKkk,제6차 개혁신당 중앙선거대책위원회｜2024년 4월 3일｜개혁신당TV,2024-04-05T05:35:26Z,0h 4m 33s,2696,398,58
UCdkv2W-p3wEK5REQHfu7OKA,hQ9-T1yxYqA,"화성(을·정) 이준석 후보, 이원욱 후보 합동 집중유세｜2024년 4월 4일｜개혁신당TV",2024-04-05T03:42:42Z,0h 49m 53s,25263,1667,476
UCdkv2W-p3wEK5REQHfu7OKA,H2QA5nKCyXU,누가 뭐래도 필요한 의료개혁 쇼츠,2024-04-05T01:24:27Z,0h 1m 0s,14981,1199,42
UCdkv2W-p3wEK5REQHfu7OKA,bKcK27QHT4c,선거보조금보다 당비가 더 나은 쇼츠,2024-04-05T00:48:41Z,0h 0m 58s,25117,1591,123
UCdkv2W-p3wEK5REQHfu7OKA,bG0KUlInC6c,미래를 위한 연금개혁이 필요한 쇼츠,2024-04-04T06:23:38Z,0h 1m 0s,15989,1147,77
UCdkv2W-p3wEK5REQHfu7OKA,BGCtlP1VwYQ,"개혁신당 3대 개혁, 10대 과제 발표｜2024년 4월 2일｜개혁신당TV",2024-04-02T03:15:15Z,0h 34m 52s,16313,1310,225
UCdkv2W-p3wEK5REQHfu7OKA,WQVu0ax1fUU,화성(정) 이원욱 후보 집중유세｜2024년 3월 30일｜개혁신당TV,2024-04-02T02:12:05Z,0h 27m 8s,11953,1021,180
UCdkv2W-p3wEK5REQHfu7OKA,homzQrcxc2Q,대전 선거대책위원회 출범｜2024년 3월 31일｜개혁신당TV,2024-04-01T23:13:59Z,0h 11m 56s,2167,353,58
UCdkv2W-p3wEK5REQHfu7OKA,qzTFfHhRLHc,소방서에 개혁신당이 온 쇼츠,2024-04-01T08:45:32Z,0h 1m 1s,7326,718,29
UCdkv2W-p3wEK5REQHfu7OKA,-AQp0IiMEyI,남양주(갑) 조응천 후보 집중유세｜2024년 3월 28일｜개혁신당TV,2024-04-01T05:59:34Z,0h 48m 31s,14813,1177,219
UCdkv2W-p3wEK5REQHfu7OKA,xJOxWQeaPvM,제5차 개혁신당 중앙선거대책위원회｜2024년 4월 1일｜개혁신당TV,2024-04-01T01:37:20Z,0h 15m 17s,4851,561,77
UCdkv2W-p3wEK5REQHfu7OKA,Cnqw1RCZpj4,공영운이 너무너무 의심스러운 쇼츠,2024-03-30T12:30:12Z,0h 0m 59s,16069,1397,81
UCdkv2W-p3wEK5REQHfu7OKA,repM66VYtEU,국민의힘에게 바보라고 외치는 쇼츠,2024-03-30T10:48:27Z,0h 1m 0s,14944,995,63
UCdkv2W-p3wEK5REQHfu7OKA,Be8vMVhARi4,공영운 현대차 리콜 은폐 의혹 기자회견｜2024년 3월 30일｜개혁신당TV,2024-03-30T02:05:55Z,0h 19m 5s,55319,3345,969
UCdkv2W-p3wEK5REQHfu7OKA,8NIzZke5wV4,지지자 분들께 죄송한게 많은 쇼츠,2024-03-29T08:46:27Z,0h 1m 1s,9833,912,50
UCdkv2W-p3wEK5REQHfu7OKA,df-omzs5jmA,개혁신당 중앙선거대책위원회 출정식｜2024년 3월 28일｜개혁신당TV,2024-03-29T04:36:24Z,0h 43m 8s,5788,462,107
UCdkv2W-p3wEK5REQHfu7OKA,TlQRoJllhjo,제4차 개혁신당 중앙선거대책위원회｜2024년 3월 29일｜개혁신당TV,2024-03-29T04:31:00Z,0h 23m 26s,6290,663,106
UCdkv2W-p3wEK5REQHfu7OKA,aCc88CYtvVI,소아과 전문의가 개혁신당으로 온 쇼츠,2024-03-28T12:01:01Z,0h 1m 0s,34894,2240,153
UCdkv2W-p3wEK5REQHfu7OKA,3jOcGcgOlRg,전혀 개같지 않은 쇼츠,2024-03-28T10:43:35Z,0h 1m 1s,20237,1318,103
UCdkv2W-p3wEK5REQHfu7OKA,qx7Faq-poQI,제3차 중앙선거대책위원회의｜2024년 3월 27일｜개혁신당TV,2024-03-27T01:29:53Z,0h 24m 21s,8731,949,174
UCdkv2W-p3wEK5REQHfu7OKA,YKKr9xTwYz4,릴레이 정책발표 - 노인 교통복지 확대｜2024년 1월 18일,2024-03-27T00:43:14Z,0h 0m 54s,6682,563,44
UCdkv2W-p3wEK5REQHfu7OKA,UtbGcX0n7mk,제1차 개혁신당 중앙선대위회의｜2024년 3월 25일(월)｜개혁신당TV,2024-03-25T09:09:18Z,0h 20m 13s,14733,1436,279
UCdkv2W-p3wEK5REQHfu7OKA,0cjXDZfu8F8,이주영·천하람 총괄선대위원장 기자회견｜2024년 3월 25일｜개혁신당TV,2024-03-25T01:22:15Z,0h 17m 20s,13657,1314,255
UCdkv2W-p3wEK5REQHfu7OKA,iTbt5rwI7d4,릴레이 정책발표 - 기업 자율성 보장｜2024년 1월 18일,2024-03-24T13:08:41Z,0h 0m 46s,5970,641,36
UCdkv2W-p3wEK5REQHfu7OKA,yEnGwIaJEPA,제16차 개혁신당 최고위원회의｜2024년 3월 22일｜개혁신당TV,2024-03-22T01:11:09Z,0h 7m 41s,5150,648,145
UCdkv2W-p3wEK5REQHfu7OKA,AKoH4GWL3T8,릴레이 정책발표 - 대통령 배우자 법적지위 마련｜2024년 1월 16일｜개혁신당TV,2024-03-22T00:21:19Z,0h 0m 51s,8203,760,43
UCdkv2W-p3wEK5REQHfu7OKA,uK5JroOZugc,릴레이 정책발표 - 자본시장 선진화｜2024년 1월 15일｜개혁신당TV,2024-03-19T08:49:04Z,0h 1m 0s,5234,545,20
UCdkv2W-p3wEK5REQHfu7OKA,BehgluxJct4,이준석 개혁신당 당대표 경기화성(을) 개소식 연설ㅣ2024년 3월 17일ㅣ개혁신당TV,2024-03-18T05:15:40Z,0h 23m 36s,5265,659,132
UCdkv2W-p3wEK5REQHfu7OKA,FaTdGk7RrPk,제14차 개혁신당 최고위원회의｜2024년 3월 18일｜개혁신당TV,2024-03-18T02:11:31Z,0h 10m 30s,6140,642,115
UCdkv2W-p3wEK5REQHfu7OKA,wguu6jUACsk,릴레이 정책발표 - 교육 개혁｜2024년 1월 10일｜개혁신당TV,2024-03-16T05:04:11Z,0h 0m 58s,5727,753,47
UCdkv2W-p3wEK5REQHfu7OKA,7ou_Uo-HGFk,제13차 개혁신당 현장 최고위원회의｜2024년 3월 15일｜개혁신당TV,2024-03-15T01:25:23Z,0h 19m 32s,4076,504,90
UCdkv2W-p3wEK5REQHfu7OKA,9rMLtN5tbG0,이준석 개혁신당 당대표 양향자 예비후보 개소식 연설｜2024년 3월 13일(수)｜개혁신당TV,2024-03-14T05:11:53Z,0h 0m 56s,14403,980,78
UCdkv2W-p3wEK5REQHfu7OKA,eFOUoRqI6jc,양향자 개혁신당 원내대표 개소식 연설｜2024년 3월 13일(수)｜개혁신당TV,2024-03-14T05:04:11Z,0h 0m 55s,5003,619,36
UCdkv2W-p3wEK5REQHfu7OKA,yARL7XNXhwE,제12차 개혁신당 최고위원회의｜2024년 3월 13일｜개혁신당TV,2024-03-13T10:56:32Z,0h 9m 58s,2192,353,77
UCdkv2W-p3wEK5REQHfu7OKA,tSSXIEGDpEE,릴레이 정책발표 - 방송 선진화｜2024년 1월 8일｜개혁신당TV,2024-03-11T07:55:11Z,0h 0m 59s,3800,517,60
UCdkv2W-p3wEK5REQHfu7OKA,zO6_0yXa5qg,제10차 개혁신당 최고위원회의｜2024년 3월 8일｜개혁신당TV,2024-03-08T13:31:46Z,0h 10m 16s,4867,746,127
